Age,Annual_Income,Monthly_Salary,Loan_Amount,Credit_History,Existing_Loans,Debt,Employment_Status,Loan_Status
25,400000,33333,100000,Good,1,50000,Employed,Good
30,600000,50000,150000,Good,2,70000,Employed,Good
35,300000,25000,250000,Poor,3,150000,Self-Employed,Bad
28,500000,41667,120000,Good,1,40000,Employed,Good
40,700000,58333,300000,Good,2,100000,Business,Good
22,200000,16667,180000,Poor,4,120000,Unemployed,Bad
45,800000,66667,350000,Good,1,90000,Business,Good
27,350000,29167,220000,Poor,2,130000,Self-Employed,Bad
33,650000,54167,200000,Good,1,60000,Employed,Good
29,450000,37500,170000,Poor,3,110000,Employed,Bad
31,550000,45833,160000,Good,2,80000,Business,Good
24,250000,20833,210000,Poor,4,140000,Unemployed,Bad
38,750000,62500,280000,Good,1,70000,Business,Good
26,320000,26667,230000,Poor,3,150000,Self-Employed,Bad
36,680000,56667,240000,Good,2,90000,Employed,Good
23,210000,17500,190000,Poor,4,160000,Unemployed,Bad
41,820000,68333,330000,Good,1,85000,Business,Good
34,470000,39167,210000,Poor,2,120000,Employed,Bad
39,780000,65000,260000,Good,1,75000,Business,Good
21,180000,15000,170000,Poor,5,140000,Unemployed,Bad
